director_list;director_name
DIR1;Adil El Arbi
DIR2;Agnès Merlet
DIR3;Alain Berliner
DIR4;Alain de Halleux
DIR5;Alain Guesnier
DIR6;Alex Stockman
DIR7;Alexe Poukine
DIR8;Amélie van Elmbt
DIR9;Amory
DIR10;Anke Blondé
DIR11;Ann Van de Vyvere
DIR12;Anna Falguères
DIR13;Annick Ghijzelings
DIR14;Antoine Cuypers
DIR15;Antonio Spano
DIR16;Arnaud Malherbe
DIR17;Baloji
DIR18;Banu Akseki
DIR19;Bart van Leemputten
DIR20;Bas Devos
DIR21;Bastien Martin
DIR22;Bavo Defurne
DIR23;Benjamin Colaux
DIR24;Benjamin d'Aoust
DIR25;Benjamin Viré
DIR26;Benny Vandendriessche
DIR27;Benoît Dervaux
DIR28;Benoît Lamy
DIR29;Benoît Mariage
DIR30;Bernard Bellefroid
DIR31;Bernard Halut
DIR32;Bert Scholiers
DIR33;Bertrand Mandico
DIR34;Bouli Lanners
DIR35;Bram Conjaerts
DIR36;Bruno Deville
DIR37;Bruno Tracq
DIR38;Camille Meynard
DIR39;Cecilia Verheyden
DIR40;Cédric Kahn
DIR41;Chantal Akerman
DIR42;Christina Vandekerckhove
DIR43;Christoph Bohn
DIR44;Christophe Hermans
DIR45;Christophe Rolin
DIR46;Christophe Van Rompaey
DIR47;Claude Grunspan
DIR48;Claude Schmitz
DIR49;Claudio Pazienza
DIR50;Clément Abbey
DIR51;Constantin Didisheim
DIR52;Costa-Gavras
DIR53;Daniel Lambo
DIR54;Danny Deprez
DIR55;David Lambert
DIR56;David Leloup
DIR57;Delphine Girard
DIR58;Delphine Lehericey
DIR59;Delphine Noels
DIR60;Dennis Bots
DIR61;Dimitri Karakatsanis
DIR62;Domien Huyghe
DIR63;Dominique Abel
DIR64;Dominique Deruddere
DIR65;Dominique Smeets
DIR66;Dominique Standaert
DIR67;Dorothée Van Den Berghe
DIR68;Douglas Boswell
DIR69;Éléonore Saintagnan
DIR70;Elias Grootaers
DIR71;Ellen Vermeulen
DIR72;Elsa Maury
DIR73;Emilie Verhamme
DIR74;Emma Luchini
DIR75;Emmanuelle Bonmariage
DIR76;Eric D'Agostino
DIR77;Eric Pauwels
DIR78;Erik Van Looy
DIR79;Eva Cools
DIR80;Eve Duchemin
DIR81;Fabrice du Welz
DIR82;Federico Ariu
DIR83;Felix van Groeningen
DIR84;Fien Troch
DIR85;Filip Van Neyghem
DIR86;Floriane Devigne
DIR87;Franck Ribière
DIR88;François Ducat
DIR89;François Pirot
DIR90;François Woukoache
DIR91;François-Xavier Vives
DIR92;Frank van Mechelen
DIR93;Frank Van Passel
DIR94;Frans Buyens
DIR95;Frans Weisz
DIR96;Fred De Loof
DIR97;Frédéric Carpentier
DIR98;Frédéric Dumont
DIR99;Frédéric Fichefet
DIR100;Frédéric Fonteyne
DIR101;Frédéric Guillaume
DIR102;Frédéric Ledoux
DIR103;Frederik Sonck
DIR104;Frederike Migom
DIR105;Gaëlle Hardy
DIR106;Gaetan Liekens
DIR107;Geneviève Mersch
DIR108;Geoffrey Enthoven
DIR109;Géraldine Doignon
DIR110;Gerard-Jan Claes
DIR111;Gert Embrechts
DIR112;Gidi van Liempd
DIR113;Giles Daoust
DIR114;Gilles Coulier
DIR115;Gilles Lellouche
DIR116;Gilles Simonet
DIR117;Giordano Gederlini
DIR118;Grégory Beghin
DIR119;Griet Teck
DIR120;Guérin van de Vorst
DIR121;Guido De Craene
