imdb_id;year_list;genre_list;director_list;lan_list
9660502;YEA30;GEN8;DIR202;LAN2
16540514;YEA30;GEN12;DIR118;LAN2
16148552;YEA31;GEN8;DIR353;LAN2
11767724;YEA31;GEN8;DIR184;LAN1
16090596;YEA31;GEN1;DIR33;LAN2
2311526;YEA21;GEN8;DIR58;LAN2
3792960;YEA23;GEN5;DIR146;LAN2
11182994;YEA30;GEN6;DIR284;LAN1
26448954;YEA31;GEN8;DIR20;LAN2
21086802;YEA31;GEN8;DIR17;LAN2
2737050;YEA22;GEN8;DIR160;LAN2
11054164;YEA27;GEN5;DIR186;LAN1
7636728;YEA31;GEN8;DIR334;LAN1
106218;YEA1;GEN8;DIR78;LAN1
7618604;YEA27;GEN5;DIR327;LAN1
407621;YEA12;GEN8;DIR81;LAN2
3089778;YEA22;GEN6;DIR129;LAN1
1625150;YEA19;GEN8;DIR22;LAN1
18317064;YEA30;GEN8;DIR160;LAN2
1130988;YEA16;GEN1;DIR205;LAN2
11087960;YEA29;GEN8;DIR187;LAN2
8003558;YEA26;GEN2;DIR163;LAN2
25051484;YEA31;GEN8;DIR163;LAN2
10916810;YEA30;GEN12;DIR180;LAN2
812243;YEA15;GEN5;DIR184;LAN1
8829128;YEA27;GEN1;DIR316;LAN1
2586120;YEA25;GEN6;DIR230;LAN1
13866832;YEA31;GEN8;DIR84;LAN1
5699154;YEA25;GEN5;DIR250;LAN2
1827512;YEA19;GEN8;DIR160;LAN2
7476116;YEA26;GEN5;DIR115;LAN2
5827212;YEA25;GEN17;DIR133;LAN2
18332450;YEA30;GEN8;DIR179;LAN2
12819094;YEA30;GEN6;DIR117;LAN2
11611486;YEA29;GEN8;DIR163;LAN2
459880;YEA14;GEN8;DIR258;LAN2
11188010;YEA29;GEN8;DIR327;LAN2
291172;YEA10;GEN8;DIR160;LAN2
456396;YEA13;GEN6;DIR160;LAN2
27812279;YEA31;GEN5;DIR280;LAN2
2733258;YEA21;GEN12;DIR133;LAN2
12715472;YEA29;GEN17;DIR81;LAN2
374345;YEA11;GEN1;DIR78;LAN1
2272918;YEA22;GEN8;DIR64;LAN1
117398;YEA4;GEN8;DIR160;LAN2
1433540;YEA17;GEN3;DIR308;LAN2
21962898;YEA31;GEN14;DIR63;LAN2
8972476;YEA27;GEN8;DIR12;LAN2
1075110;YEA17;GEN5;DIR83;LAN1
4630550;YEA24;GEN6;DIR160;LAN2
2408056;YEA20;GEN8;DIR329;LAN2
3218580;YEA22;GEN6;DIR81;LAN2
1226334;YEA16;GEN8;DIR163;LAN2
6438030;YEA26;GEN6;DIR1;LAN1
16968976;YEA31;GEN8;DIR57;LAN2
116581;YEA4;GEN5;DIR146;LAN2
425990;YEA15;GEN8;DIR306;LAN2
10244760;YEA27;GEN8;DIR20;LAN1
422015;YEA13;GEN5;DIR52;LAN2
14305564;YEA30;GEN17;DIR129;LAN1
6922062;YEA27;GEN8;DIR104;LAN1
7715270;YEA27;GEN8;DIR81;LAN2
2387692;YEA24;GEN8;DIR22;LAN2
7933442;YEA27;GEN8;DIR79;LAN2
1426352;YEA17;GEN8;DIR133;LAN2
8359822;YEA27;GEN8;DIR160;LAN2
11773174;YEA31;GEN9;DIR62;LAN1
27997070;YEA31;GEN8;DIR227;LAN1
119590;YEA5;GEN8;DIR3;LAN2
111622;YEA2;GEN4;DIR147;LAN2
1753887;YEA19;GEN5;DIR108;LAN1
1660302;YEA20;GEN6;DIR163;LAN2
4529162;YEA24;GEN8;DIR188;LAN2
14683284;YEA30;GEN1;DIR170;LAN1
1186369;YEA16;GEN8;DIR160;LAN2
1295059;YEA18;GEN8;DIR281;LAN1
12459520;YEA28;GEN5;DIR223;LAN1
855895;YEA14;GEN8;DIR163;LAN2
8356178;YEA27;GEN8;DIR188;LAN2
