imdb_id;movie_name;runtime;awards_won;nominations;imdb_score;total_votes
9660502;Close;01:44;57;82;7.8;33000
16540514;Deep Fear;01:20;;5;5.0;757
16148552;The Lost Boys;01:23;2;5;6.7;965
11767724;Skunk;01:45;2;;8.2;37
16090596;She Is Conann;01:45;;4;6.0;283
2311526;Puppylove;01:25;1;2;5.7;1100
3792960;The Brand New Testament;01:54;15;25;7.1;35000
11182994;Zillion;02:18;3;1;7.4;3000
26448954;Here;01:22;3;11;6.8;358
21086802;Omen;01:30;6;21;6.3;338
2737050;Two Days, One Night;01:35;41;83;7.3;50000
11054164;Yummy;01:28;;1;5.9;6100
7636728;When It Melts;01:51;4;3;7.5;708
106218;Ad Fundum;01:38;1;1;6.7;1400
7618604;Patrick;01:37;14;14;6.7;2500
407621;Calvaire;01:28;4;3;6.1;14000
3089778;The Treatment;02:11;3;7;7.1;9900
1625150;North Sea Texas;01:38;3;4;7.1;9900
18317064;Tori and Lokita;01:28;6;7;7.1;2800
1130988;JCVD;01:37;;2;7.0;40000
11087960;Playground;01:12;28;22;7.3;4100
8003558;Keep Going;01:24;;2;5.7;391
25051484;A Silence;01:39;;2;5.9;166
10916810;Megalomaniac;01:58;7;;5.6;671
812243;Ex Drummer;01:41;3;3;6.9;11000
8829128;Torpedo;01:42;2;2;5.9;2900
2586120;Racer and the Jailbird;02:10;7;9;6.3;5600
13866832;Holly;01:42;;6;6.2;227
5699154;C'est la vie!;01:57;;21;6.8;12000
1827512;The Kid with a Bike;01:27;9;31;7.4;29000
7476116;Sink or Swim;02:01;5;16;6.9;12000
5827212;Let the Corpses Tan;01:32;4;9;6.2;3400
18332450;Easy Tiger;01:00;10;5;5.6;86
12819094;Entre la vie et la mort;01:40;;2;5.6;626
11611486;The Restless;01:57;;13;6.6;1200
459880;Lady Chatterley;02:48;11;11;6.7;4800
11188010;Nobody Has to Know;01:39;6;6;6.6;992
291172;The Son;01:39;11;12;7.5;10000
456396;The Child;01:35;14;21;7.4;19000
27812279;The (Ex)Perience of Love;01:29;;1;6.3;154
2733258;The Strange Colour of Your Body's Tears;01:42;3;10;5.9;4300
12715472;Inexorable;01:38;;5;6.1;1100
374345;The Memory of a Killer;02:03;7;3;7.2;1100
2272918;Racing Hearts;01:35;2;2;6.1;5100
117398;The Promise;01:30;17;5;7.7;8500
